commodity,type,contract
Brent Crude,Monthly,CO1 Comdty
Brent Crude,Monthly,CO2 Comdty
Brent Crude,Monthly,CO3 Comdty
Brent Crude,Monthly,CO4 Comdty
Brent Crude,Monthly,CO5 Comdty
Brent Crude,Monthly,CO6 Comdty
Brent Crude,Monthly,CO7 Comdty
Brent Crude,Monthly,CO8 Comdty
Brent Crude,Monthly,CO9 Comdty
Brent Crude,Monthly,CO10 Comdty
Brent Crude,Monthly,CO11 Comdty
Brent Crude,Monthly,CO12 Comdty
Brent Crude,Monthly,CO13 Comdty
Brent Crude,Monthly,CO14 Comdty
Brent Crude,Monthly,CO15 Comdty
Brent Crude,Monthly,CO16 Comdty
Brent Crude,Monthly,CO17 Comdty
Brent Crude,Monthly,CO18 Comdty
WTI Crude,Monthly,CL1 Comdty
WTI Crude,Monthly,CL2 Comdty
WTI Crude,Monthly,CL3 Comdty
WTI Crude,Monthly,CL4 Comdty
WTI Crude,Monthly,CL5 Comdty
WTI Crude,Monthly,CL6 Comdty
WTI Crude,Monthly,CL7 Comdty
WTI Crude,Monthly,CL8 Comdty
WTI Crude,Monthly,CL9 Comdty
WTI Crude,Monthly,CL10 Comdty
WTI Crude,Monthly,CL11 Comdty
WTI Crude,Monthly,CL12 Comdty
WTI Crude,Monthly,CL13 Comdty
WTI Crude,Monthly,CL14 Comdty
WTI Crude,Monthly,CL15 Comdty
WTI Crude,Monthly,CL16 Comdty
WTI Crude,Monthly,CL17 Comdty
WTI Crude,Monthly,CL18 Comdty
JKM Asia LNG,Monthly,AJKMM1 Comdty
JKM Asia LNG,Monthly,AJKMM2 Comdty
JKM Asia LNG,Monthly,AJKMM3 Comdty
JKM Asia LNG,Monthly,AJKMM4 Comdty
JKM Asia LNG,Monthly,AJKMM5 Comdty
JKM Asia LNG,Monthly,AJKMM6 Comdty
JKM Asia LNG,Monthly,AJKMM7 Comdty
JKM Asia LNG,Monthly,AJKMM8 Comdty
JKM Asia LNG,Monthly,AJKMM9 Comdty
JKM Asia LNG,Monthly,AJKMM10 Comdty
JKM Asia LNG,Monthly,AJKMM11 Comdty
JKM Asia LNG,Monthly,AJKMM12 Comdty
JKM Asia LNG,Monthly,AJKMM13 Comdty
JKM Asia LNG,Monthly,AJKMM14 Comdty
JKM Asia LNG,Monthly,AJKMM15 Comdty
JKM Asia LNG,Monthly,AJKMM16 Comdty
JKM Asia LNG,Monthly,AJKMM17 Comdty
JKM Asia LNG,Monthly,AJKMM18 Comdty
Henry Hub Gas,Monthly,NG1 COMB Comdty
Henry Hub Gas,Monthly,NG2 COMB Comdty
Henry Hub Gas,Monthly,NG3 COMB Comdty
Henry Hub Gas,Monthly,NG4 COMB Comdty
Henry Hub Gas,Monthly,NG5 COMB Comdty
Henry Hub Gas,Monthly,NG6 COMB Comdty
Henry Hub Gas,Monthly,NG7 COMB Comdty
Henry Hub Gas,Monthly,NG8 COMB Comdty
Henry Hub Gas,Monthly,NG9 COMB Comdty
Henry Hub Gas,Monthly,NG10 COMB Comdty
Henry Hub Gas,Monthly,NG11 COMB Comdty
Henry Hub Gas,Monthly,NG12 COMB Comdty
Henry Hub Gas,Monthly,NG13 COMB Comdty
Henry Hub Gas,Monthly,NG14 COMB Comdty
Henry Hub Gas,Monthly,NG15 COMB Comdty
Henry Hub Gas,Monthly,NG16 COMB Comdty
Henry Hub Gas,Monthly,NG17 COMB Comdty
Henry Hub Gas,Monthly,NG18 COMB Comdty
TTF Natural Gas,Monthly,TTFG1MON BCFV Index
TTF Natural Gas,Monthly,TTFG2MON BCFV Index
TTF Natural Gas,Monthly,TTFG3MON BCFV Index
TTF Natural Gas,Monthly,TTFG4MON BCFV Index
TTF Natural Gas,Monthly,TTFG5MON BCFV Index
TTF Natural Gas,Monthly,TTFG6MON BCFV Index
TTF Natural Gas,Monthly,TTFG7MON BCFV Index
TTF Natural Gas,Monthly,TTFG8MON BCFV Index
TTF Natural Gas,Monthly,TTFG9MON BCFV Index
TTF Natural Gas,Monthly,TTFG10M BCFV Index
TTF Natural Gas,Monthly,TTFG11M BCFV Index
TTF Natural Gas,Monthly,TTFG12M BCFV Index
TTF Natural Gas,Monthly,TTFG13M BCFV Index
TTF Natural Gas,Monthly,TTFG14M BCFV Index
TTF Natural Gas,Monthly,TTFG15M BCFV Index
TTF Natural Gas,Monthly,TTFG16M BCFV Index
TTF Natural Gas,Monthly,TTFG17M BCFV Index
TTF Natural Gas,Monthly,TTFG18M BCFV Index
